OTU	lineage	X12	X11	X10	X14	X17	X15	X16	X13	X24	X26	X23	X25	X18	X20	X19	X21
OTU212	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU215	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	0	0
OTU216	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU217	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU220	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU222	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU224	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	467	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU225	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	457	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0
OTU226	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	220	0	0	66	0	0	34	0
OTU227	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU228	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0
OTU229	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Micropezidae	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0
OTU230	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
OTU231	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU233	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
