OTU_id	lineage	X11	X10	X14	X13	X18	X12	X20	X17	X24	X26	X19	X21	X25	X16	X23	X15
OTU357	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	0	0
OTU360	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	0	0	784	0	0	0	0	0	0	0	0	0	0
OTU367	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU376	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae	0	0	0	0	0	0	0	0	0	0	0	0	0	1256	0	0
OTU386	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	295	500	0	0	0	0	0	141	0	0	0	0	133
OTU390	r__root;p__Arthropoda;c__Insecta;o__Psocodea;f__Lepidopsocidae	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0
OTU391	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0
OTU396	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	0	0	0	0	0	2340	0	0	0	0	0	0	0	0	0	0
OTU404	r__root;p__Arthropoda;c__Insecta;o__Psocoptera;f__Lepidopsocidae	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0
OTU414	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	513	0	0	0	0	0	0
OTU418	r__root;p__Arthropoda;c__Insecta	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0
OTU419	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0
OTU423	r__root;p__Arthropoda;c__Insecta;o__Diptera	83	0	0	0	0	816	0	0	0	0	0	0	0	0	0	0
OTU425	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0
OTU428	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1436
OTU432	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	0
OTU441	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	54	864	0	0	0	0	0
OTU442	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0
OTU447	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU457	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
OTU458	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU460	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU464	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0
OTU466	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
OTU469	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Arctiidae	0	0	0	0	0	0	799	0	0	0	0	0	0	0	0	0
OTU471	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	57	793	0	0	0	0	0
OTU476	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
OTU477	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	778	0	0	0	0
OTU480	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Noctuidae	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
OTU481	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Noctuidae	0	0	0	0	0	0	0	0	714	0	0	0	0	291	0	0
