otu	lineage	X14	X22	X17	X24	X11	X10	X20	X23	X21	X18	X25	X12	X16	X15
OTU293	r__root;p__Arthropoda;c__Insecta;o__Blattodea	936	45	0	0	0	0	0	0	0	0	0	0	0	0
OTU296	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Simuliidae	141	0	0	0	0	0	0	0	0	0	0	0	923	0
OTU303	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	929	0	0
OTU304	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Simuliidae	0	0	0	0	0	0	0	0	0	0	0	0	0	858
OTU307	r__root;p__Arthropoda;c__Insecta	898	0	0	0	0	0	139	0	0	0	0	0	0	0
OTU308	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	1280	0	0	0	0	0	0	0	0	0	0	0
OTU312	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	1336	0	0	0	0	0	0	0	0	0	0
OTU320	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	442	0	0	0	0	0	0	0
OTU321	r__root;p__Arthropoda;c__Insecta;o__Blattodea;f__Kalotermitidae	0	0	0	0	0	0	0	0	0	773	0	0	0	0
OTU325	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	747	0
OTU336	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae	0	0	0	0	600	852	0	0	0	0	0	0	0	0
OTU343	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	1160	0	0	0	0
OTU346	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	0	0	0	0	0	0	0	0	0	0	0	0	0	288
OTU347	r__root;p__Arthropoda;c__Insecta	0	0	0	580	0	0	33	0	0	0	0	0	0	0
OTU365	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OTU370	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	741	0	0	0	0	0	0
OTU374	r__root;p__Arthropoda;c__Insecta	0	0	599	0	0	0	0	0	0	0	0	0	0	0
OTU378	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	572	0	0	0	0	0
OTU381	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	129	0
OTU382	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	555	0	0	0	0	0	0	0	0	0
OTU383	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	101	0	0	0	0	0	0	0
OTU387	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	241	0	0	0
OTU390	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae	0	0	0	145	0	0	0	0	0	536	0	0	0	0
OTU392	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	437	0	0	0	0	0	0	0	0
OTU395	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	78	0	0	0	0	0	449	0	0
OTU396	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	593	0	0	0	0
OTU402	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	0	0	0	0	0	0	0	0	0	1822	0
OTU407	r__root;p__Arthropoda;c__Insecta;o__Embioptera;f__Oligotomidae	0	0	0	0	0	0	0	0	0	0	0	738	0	0
OTU409	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	497	0	0	0	0	0	0	0	0	0
OTU413	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	484	0	0	0	0	0	0	0	0	0	0	0	0
OTU415	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	567	0
OTU417	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	767	728	0
OTU428	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	488	0	0	0	0	0	0	107	0	0	0	0
OTU432	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	520
OTU433	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	517
OTU445	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	79	0	0	0
OTU447	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	53	0	0	415	0	0	58	0	0	0	0	0	0	0
OTU451	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	407	0	0	0	0	0	0	0	0
OTU458	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	396	0	0	0
OTU465	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	54	0	0	0	0	0	0	0	0	0
OTU470	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	672	0	0	0	0
OTU471	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	385
OTU474	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	384	0
OTU486	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	0	0	0	0	0	0	0	0	0	360	0
OTU493	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae	0	0	0	0	32	0	0	0	321	347	0	0	0	0
OTU495	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae	0	0	0	649	0	0	0	0	0	0	0	0	0	0
OTU499	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pseudococcidae	0	0	0	0	0	0	174	0	0	0	0	0	0	0
OTU508	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	319	0	0	0	0
OTU515	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	307	0	0	0	0	0	0	0	0
OTU519	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	207	0	0	0	0	0	0	0
OTU524	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Dolichopodidae	0	0	0	0	0	0	0	0	0	0	0	0	0	2433
OTU527	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae	0	0	492	0	0	0	0	0	0	0	0	0	0	0
OTU531	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	326
OTU536	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae	0	0	0	0	287	0	0	0	0	0	0	0	0	0
OTU547	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	270	0	0
OTU551	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	451	0
OTU553	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	262	0	0	0	0	0	0	0	0	0	0	0
OTU557	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	413	0	0	0	0	0	0	0	0	0
OTU559	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	256	0
OTU563	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	212	0	0
OTU564	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Agromyzidae	0	0	0	0	0	0	134	0	0	0	0	0	0	0
OTU565	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Tenebrionidae	0	250	0	0	0	0	0	0	0	0	0	0	0	0
OTU566	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	547	0	0	0
OTU570	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Bombyliidae	218	0	605	0	380	0	0	0	0	0	0	0	0	0
OTU574	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	236	0
OTU581	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae	0	0	0	0	0	384	0	0	0	0	0	0	0	0
OTU583	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	77	0	0	0	0	0	153	0	0
OTU588	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae	225	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU590	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	102	0	0
OTU593	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	78	0
OTU595	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	373	0	0	0
OTU596	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Dictyopharidae	0	0	0	0	0	0	0	0	0	0	0	0	215	0
OTU598	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	215
OTU601	r__root;p__Arthropoda;c__Insecta;o__Neuroptera;f__Chrysopidae	0	0	0	0	0	0	0	0	0	0	0	0	0	200
OTU603	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae	0	0	0	0	0	0	0	0	171	0	0	0	0	0
